"","date","countryterritoryCode","cases","deaths","popData2019","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","days_passed"
"1","01.10.2020","USA",41982,930,329064917,182.98881737,202
"2","30.09.2020","USA",43017,928,329064917,177.70596918,201
"3","29.09.2020","USA",32998,314,329064917,180.27567491,200
"4","28.09.2020","USA",36248,259,329064917,180.83574677,199
"5","27.09.2020","USA",45368,723,329064917,180.1133969,198
"6","26.09.2020","USA",55013,964,329064917,178.73129879,197
"7","25.09.2020","USA",44213,901,329064917,176.61864574,196
"8","24.09.2020","USA",37930,1102,329064917,174.58074997,195
"9","23.09.2020","USA",38307,926,329064917,172.75648987,194
"10","22.09.2020","USA",53153,372,329064917,169.3574645,193
"11","21.09.2020","USA",39852,251,329064917,160.57409122,192
"12","20.09.2020","USA",40295,669,329064917,157.74881283,191
"13","19.09.2020","USA",50209,956,329064917,158.91727528,190
"14","18.09.2020","USA",43567,831,329064917,159.17922967,189
"15","17.09.2020","USA",24598,865,329064917,156.95535237,188
"16","16.09.2020","USA",51473,1407,329064917,161.2572391,187
"17","15.09.2020","USA",34841,451,329064917,159.18044524,186
"18","14.09.2020","USA",33871,378,329064917,158.87928885,185
"19","13.09.2020","USA",40820,685,329064917,159.39894316,184
"20","12.09.2020","USA",48061,1227,329064917,160.4087743,183
"21","11.09.2020","USA",37507,974,329064917,160.8928733,182
"22","10.09.2020","USA",31927,1136,329064917,163.44616889,181
"23","09.09.2020","USA",27122,471,329064917,166.76496693,180
"24","08.09.2020","USA",24250,267,329064917,170.10686071,179
"25","07.09.2020","USA",30555,403,329064917,174.37592717,178
"26","06.09.2020","USA",44140,773,329064917,175.57660211,177
"27","05.09.2020","USA",51071,968,329064917,175.64892826,176
"28","04.09.2020","USA",36249,1053,329064917,175.2869936,175
"29","03.09.2020","USA",38754,1055,329064917,177.64397534,174
"30","02.09.2020","USA",44639,1091,329064917,180.2793216,173
"31","01.09.2020","USA",33850,529,329064917,180.11278911,172
"32","31.08.2020","USA",35581,290,329064917,180.47928215,171
"33","30.08.2020","USA",44143,1006,329064917,182.46156578,170
"34","29.08.2020","USA",49654,949,329064917,183.6595057,169
"35","28.08.2020","USA",45909,1110,329064917,188.2737928,168
"36","27.08.2020","USA",42848,1228,329064917,189.84946973,167
"37","26.08.2020","USA",38119,1207,329064917,193.8283199,166
"38","25.08.2020","USA",38298,473,329064917,196.47035178,165
"39","24.08.2020","USA",34506,444,329064917,199.88366004,164
"40","23.08.2020","USA",44378,956,329064917,203.63398387,163
"41","22.08.2020","USA",49880,1151,329064917,207.23296978,162
"42","21.08.2020","USA",44005,1078,329064917,209.7461517,161
"43","20.08.2020","USA",47426,1356,329064917,214.53244133,160
"44","19.08.2020","USA",44091,1324,329064917,216.16676931,159
"45","18.08.2020","USA",35056,445,329064917,220.24924644,158
"46","17.08.2020","USA",42104,571,329064917,223.45560466,157
"47","16.08.2020","USA",48085,1035,329064917,225.09874549,156
"48","15.08.2020","USA",64838,1336,329064917,228.23551257,155
"49","14.08.2020","USA",51094,1083,329064917,228.89951529,154
"50","13.08.2020","USA",55941,1490,329064917,234.04682791,153
"51","12.08.2020","USA",46813,1076,329064917,239.83413583,152
"52","11.08.2020","USA",49530,523,329064917,244.36849948,151
"53","10.08.2020","USA",46847,513,329064917,246.40852249,150
"54","09.08.2020","USA",56221,1069,329064917,249.18791328,149
"55","08.08.2020","USA",58150,1252,329064917,252.00711384,148
"56","07.08.2020","USA",59755,1848,329064917,258.16911986,147
"57","06.08.2020","USA",52804,1450,329064917,259.21481019,146
"58","05.08.2020","USA",57525,1403,329064917,264.09044389,145
"59","04.08.2020","USA",45607,543,329064917,268.50385877,144
"60","03.08.2020","USA",47511,413,329064917,271.8901207,143
"61","02.08.2020","USA",58407,1133,329064917,276.23120942,142
"62","01.08.2020","USA",67023,1244,329064917,277.8545973,141
"63","31.07.2020","USA",68032,1357,329064917,279.21329578,140
"64","30.07.2020","USA",74985,1457,329064917,281.9173215,139
"65","29.07.2020","USA",61734,1245,329064917,279.70863877,138
"66","28.07.2020","USA",56243,1076,329064917,281.77023806,137
"67","27.07.2020","USA",55993,475,329064917,282.33881888,136
"68","26.07.2020","USA",65498,914,329064917,282.72324151,135
"69","25.07.2020","USA",78427,1304,329064917,281.97961924,134
"70","24.07.2020","USA",63196,1052,329064917,278.39309287,133
"71","23.07.2020","USA",68848,1124,329064917,278.33474572,132
"72","22.07.2020","USA",72048,1160,329064917,275.31345737,131
"73","21.07.2020","USA",56750,372,329064917,270.88424015,130
"74","20.07.2020","USA",61796,415,329064917,268.82993425,129
"75","19.07.2020","USA",63749,853,329064917,264.96960173,128
"76","18.07.2020","USA",71494,908,329064917,259.33910177,127
"77","17.07.2020","USA",76930,939,329064917,254.15714553,126
"78","16.07.2020","USA",67717,953,329064917,247.00627688,125
"79","15.07.2020","USA",68518,861,329064917,242.24460245,124
"80","14.07.2020","USA",58114,400,329064917,234.75732601,123
"81","13.07.2020","USA",57258,391,329064917,229.72549213,122
"82","12.07.2020","USA",63051,717,329064917,224.07767036,121
"83","11.07.2020","USA",66625,806,329064917,217.82814362,120
"84","10.07.2020","USA",63004,982,329064917,211.41664275,119
"85","09.07.2020","USA",58906,829,329064917,204.71431781,118
"86","08.07.2020","USA",57473,1174,329064917,197.24861766,117
"87","07.07.2020","USA",49990,359,329064917,190.33417652,116
"88","06.07.2020","USA",49093,271,329064917,184.68179639,115
"89","05.07.2020","USA",45221,242,329064917,177.60112665,114
"90","04.07.2020","USA",54442,694,329064917,174.23917603,113
"91","03.07.2020","USA",53399,678,329064917,166.78380819,112
"92","02.07.2020","USA",52048,652,329064917,158.99294424,111
"93","01.07.2020","USA",43880,1270,329064917,150.94316481,110
"94","30.06.2020","USA",41556,336,329064917,144.81215571,109
"95","29.06.2020","USA",38673,265,329064917,138.24840525,108
"96","28.06.2020","USA",42486,500,329064917,132.43496267,107
"97","27.06.2020","USA",45527,623,329064917,127.28521892,106
"98","26.06.2020","USA",40949,2437,329064917,121.24142666,105
"99","25.06.2020","USA",34339,751,329064917,115.75132453,104
"100","24.06.2020","USA",34720,826,329064917,111.580415,103
"101","23.06.2020","USA",31390,427,329064917,106.70143849,102
"102","22.06.2020","USA",25793,256,329064917,102.88213131,101
"103","21.06.2020","USA",34158,607,329064917,101.82124641,100
"104","20.06.2020","USA",29909,678,329064917,98.19430249,99
"105","19.06.2020","USA",27762,717,329064917,96.75659226,98
"106","18.06.2020","USA",25559,754,329064917,94.74422337,97
"107","17.06.2020","USA",23705,836,329064917,92.96341974,96
"108","16.06.2020","USA",19957,395,329064917,92.00281901,95
"109","15.06.2020","USA",19543,296,329064917,92.3459124,94
"110","14.06.2020","USA",25540,767,329064917,92.42613973,93
"111","13.06.2020","USA",25639,849,329064917,91.74451131,92
"112","12.06.2020","USA",22883,896,329064917,91.65273611,91
"113","11.06.2020","USA",20614,918,329064917,91.32878787,90
"114","10.06.2020","USA",18665,999,329064917,90.75352144,89
"115","09.06.2020","USA",18822,493,329064917,90.82797483,88
"116","08.06.2020","USA",22302,712,329064917,90.90151655,87
"117","07.06.2020","USA",22223,659,329064917,90.37456886,86
"118","06.06.2020","USA",25178,932,329064917,90.07462804,85
"119","05.06.2020","USA",21140,1036,329064917,89.761316,84
"120","04.06.2020","USA",19699,994,329064917,91.0662257,83
"121","03.06.2020","USA",20544,1034,329064917,92.15598027,82
"122","02.06.2020","USA",21086,764,329064917,91.98154661,81
"123","01.06.2020","USA",19807,602,329064917,92.21098462,80
"124","31.05.2020","USA",23297,945,329064917,91.92715005,79
"125","30.05.2020","USA",25337,1219,329064917,92.28878082,78
"126","29.05.2020","USA",21817,1175,329064917,92.34074625,77
"127","28.05.2020","USA",18721,1526,329064917,93.95927187,76
"128","27.05.2020","USA",18910,696,329064917,94.58559206,75
"129","26.05.2020","USA",19064,500,329064917,95.53920329,74
"130","25.05.2020","USA",20568,633,329064917,95.25141813,73
"131","24.05.2020","USA",21236,1080,329064917,95.15721179,72
"132","23.05.2020","USA",24147,1305,329064917,96.48704058,71
"133","22.05.2020","USA",25434,1263,329064917,97.34097543,70
"134","21.05.2020","USA",23285,1518,329064917,98.2328967,69
"135","20.05.2020","USA",19970,1568,329064917,98.48907716,68
"136","19.05.2020","USA",21841,791,329064917,99.66544079,67
"137","18.05.2020","USA",18873,808,329064917,99.89396712,66
"138","17.05.2020","USA",24487,1186,329064917,101.7474008,65
"139","16.05.2020","USA",25508,1662,329064917,103.20638344,64
"140","15.05.2020","USA",27143,1773,329064917,105.77335414,63
"141","14.05.2020","USA",20782,1746,329064917,106.6163489,62
"142","13.05.2020","USA",22048,1703,329064917,108.60501425,61
"143","12.05.2020","USA",18117,1156,329064917,109.23832394,60
"144","11.05.2020","USA",20258,734,329064917,110.58273951,59
"145","10.05.2020","USA",25612,1614,329064917,112.5881189,58
"146","09.05.2020","USA",26957,1510,329064917,119.55239823,57
"147","08.05.2020","USA",28369,2239,329064917,117.8490869,56
"148","07.05.2020","USA",24128,2353,329064917,117.2941812,55
"149","06.05.2020","USA",23841,2144,329064917,115.30673141,54
"150","05.05.2020","USA",22593,1252,329064917,119.39346302,53
"151","04.05.2020","USA",24972,1297,329064917,121.05635679,52
"152","03.05.2020","USA",29288,1317,329064917,120.94361308,51
"153","02.05.2020","USA",33955,2062,329064917,122.04795445,50
"154","01.05.2020","USA",29917,2040,329064917,121.09920548,49
"155","30.04.2020","USA",27326,2611,329064917,121.63101544,48
"156","29.04.2020","USA",24132,2110,329064917,122.48859698,47
"157","28.04.2020","USA",22541,1369,329064917,123.336454,46
"158","27.04.2020","USA",26857,1687,329064917,124.09071247,45
"159","26.04.2020","USA",48529,2172,329064917,124.32258161,44
"160","25.04.2020","USA",21352,1054,329064917,118.2028165,43
"161","24.04.2020","USA",26543,3179,329064917,122.51047717,42
"162","23.04.2020","USA",17588,1721,329064917,124.74651012,41
"163","22.04.2020","USA",37289,2524,329064917,129.52824138,40
"164","21.04.2020","USA",28065,1857,329064917,127.49946236,39
"165","20.04.2020","USA",24601,1772,329064917,128.25797531,38
"166","19.04.2020","USA",32922,1856,329064917,128.50017676,37
"167","18.04.2020","USA",30833,3770,329064917,128.91043016,36
"168","17.04.2020","USA",31667,2299,329064917,129.39422527,35
"169","16.04.2020","USA",30148,4928,329064917,128.52874255,34
"170","15.04.2020","USA",26922,2408,329064917,127.60339322,33
"171","14.04.2020","USA",25023,1541,329064917,127.01870616,32
"172","13.04.2020","USA",27620,1500,329064917,125.97696642,31
"173","12.04.2020","USA",28391,1831,329064917,123.16293201,30
"174","11.04.2020","USA",35527,2087,329064917,120.60659751,29
"175","10.04.2020","USA",33901,1873,329064917,115.49149738,28
"176","09.04.2020","USA",33323,1922,329064917,110.29373879,27
"177","08.04.2020","USA",30613,1906,329064917,104.41040119,26
"178","07.04.2020","USA",30561,1342,329064917,97.77827516,25
"179","06.04.2020","USA",25398,1146,329064917,91.90557376,24
"180","05.04.2020","USA",34272,1344,329064917,86.75795725,23
"181","04.04.2020","USA",32425,1104,329064917,78.50760949,22
"182","03.04.2020","USA",28819,915,329064917,70.28704309,21
"183","02.04.2020","USA",27103,1059,329064917,62.99851163,20
"184","01.04.2020","USA",24998,909,329064917,55.67017039,19
"185","31.03.2020","USA",21595,661,329064917,48.61016527,18
"186","30.03.2020","USA",18360,318,329064917,42.31718205,17
"187","29.03.2020","USA",19979,484,329064917,36.98783848,16
"188","28.03.2020","USA",18695,411,329064917,31.15251572,15
"189","27.03.2020","USA",16797,246,329064917,25.62655441,14
"190","26.03.2020","USA",13963,249,329064917,20.62875636,13
